loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
1,1, Graduate, No,1566669.995602005,5789986.539223373,4,300.0,4709040.772794734,2076787.2905416025,3454199.4698718335,1526471.1574384393, Approved
2,1, Not Graduate, Yes,2998522.9682479613,10921531.17983815,18,730.5508564561048,,628937.7238732004,11960795.141069217,2620932.3954106327, Approved
3,3, Graduate, No,4436654.615023645,11498891.416509435,10,738.9728513324725,7640393.245441522,7096705.453905183,,1972337.1121922743, Approved
4,0, Graduate, No,8362886.297987785,21426245.75776785,2,368.8159291855088,14131259.572918411,5965049.2614648165,32189079.51723289,11234523.051827718,
5,0, Not Graduate, Yes,5944243.565560543,13407527.152323712,8,845.6631448178168,897208.6398633559,6570319.573165909,13783055.106276503,7340804.049768905,
6,0, Not Graduate, Yes,2078033.1984006353,105243470.07115012,16,768.9701379570736,6190962.329542224,,8179798.632089661,2472875.8050292768, Approved
7,3, Not Graduate, No,3448726.253763618,14447943.214229766,10,315.41358632242236,6821339.859412299,3838744.200947214,8053334.402040559,4591047.671222488, Approved
8,0, Not Graduate, Yes,7612698.124596282,22215343.733346928,12,791.2696834961754,2057536.3022533802,3063601.180961675,23471904.66963934,, Approved
9,2, Not Graduate, No,8412554.642294863,19790443.24516185,6,526.5688343898966,2146175.86040921,16649574.324639257,19871367.00035838,8341885.55897641, Approved
10,0, Not Graduate, No,4218824.991682791,11829660.4355713,18,859.3400886951476,10543602.223558415,1185089.8834696189,16358205.891139155,1571540.0881792246,
11,0, Not Graduate, Yes,9111066.746735979,23909078.027898215,12,798.3854500220993,10912361.443899816,14181043.231541624,20595418.559034776,10259857.923748933, Approved
12,3, Not Graduate, No,4916813.319210039,19693292.433463495,10,363.46146075194594,-808098.2607335981,7176676.547103832,14989856.634686757,, Rejected
13,1, Not Graduate, Yes,5670821.983472593,21389528.950137727,2,557.0770840967161,3685890.4888960975,6945876.9727336075,21756469.02942182,5926797.940723837, Approved
14,1, Not Graduate, No,2380670.122212333,12651324.142177105,18,662.8178643031771,3115618.008092385,5313864.07743282,13312145.516944436,2294551.4526324715, Approved
15,3, Graduate, No,4440732.060395789,12219518.037281487,6,300.0,1745046.2263641478,5724376.693354785,13164089.926345434,, Rejected
16,0, Not Graduate, Yes,4765218.219202564,17049378.894100178,4,602.317034310818,11130888.34909188,1859074.204729826,12612233.368849183,6431747.092293779, Approved
17,3, Graduate, Yes,8719623.836876255,90208688.63241439,12,878.2484009085334,22815918.11114996,11064979.999118289,33457404.662508916,9660196.79545049, Approved
18,5, Graduate, Yes,1859381.7015561871,4990496.072656545,4,571.0221934096201,2314435.390274251,2124915.802407973,5894139.385444523,2136505.193786317, Approved
